Stichtag;Altersgruppe;Deutsche;Ausländer;Insgesamt
31.12.2019;0;669477;105393;774870
31.12.2019;1;685144;108988;794132
31.12.2019;2;692204;110211;802415
31.12.2019;3;694700;113116;807816
31.12.2019;4;673761;108382;782143
31.12.2019;5;667999;103480;771479
31.12.2019;6;649317;94637;743954
31.12.2019;7;647591;94378;741969
31.12.2019;8;632383;93424;725807
31.12.2019;9;653938;89823;743761
31.12.2019;10;645158;87218;732376
31.12.2019;11;664640;87023;751663
31.12.2019;12;665121;81549;746670
31.12.2019;13;653192;78506;731698
31.12.2019;14;664499;76007;740506
31.12.2019;15;680564;76259;756823
31.12.2019;16;681268;76614;757882
31.12.2019;17;694767;77171;771938
31.12.2019;18;712146;86368;798514
31.12.2019;19;742860;111226;854086
31.12.2019;20;723878;154991;878869
31.12.2019;21;738357;167545;905902
31.12.2019;22;760131;187515;947646
31.12.2019;23;745816;198775;944591
31.12.2019;24;721343;210080;931423
31.12.2019;25;728526;218506;947032
31.12.2019;26;753799;224343;978142
31.12.2019;27;767678;227837;995515
31.12.2019;28;798979;231335;1030314
31.12.2019;29;882321;241147;1123468
31.12.2019;30;870952;238275;1109227
31.12.2019;31;897929;235653;1133582
31.12.2019;32;882704;226306;1109010
31.12.2019;33;872098;216602;1088700
31.12.2019;34;842033;213168;1055201
31.12.2019;35;842165;205921;1048086
31.12.2019;36;848141;200621;1048762
31.12.2019;37;867799;201369;1069168
31.12.2019;38;861395;198084;1059479
31.12.2019;39;860746;202969;1063715
31.12.2019;40;817937;193881;1011818
31.12.2019;41;807227;190201;997428
31.12.2019;42;799519;188104;987623
31.12.2019;43;782281;186604;968885
31.12.2019;44;757842;185430;943272
31.12.2019;45;770298;184164;954462
31.12.2019;46;782594;178235;960829
31.12.2019;47;864430;174367;1038797
31.12.2019;48;971103;168487;1139590
31.12.2019;49;1014302;165378;1179680
31.12.2019;50;1105880;158065;1263945
31.12.2019;51;1169708;151252;1320960
31.12.2019;52;1214542;138228;1352770
31.12.2019;53;1251713;133895;1385608
31.12.2019;54;1257103;129849;1386952
31.12.2019;55;1285398;123434;1408832
31.12.2019;56;1279387;113555;1392942
31.12.2019;57;1238864;105524;1344388
31.12.2019;58;1226172;93680;1319852
31.12.2019;59;1177579;93712;1271291
31.12.2019;60;1147294;82815;1230109
31.12.2019;61;1079605;77520;1157125
31.12.2019;62;1051530;73228;1124758
31.12.2019;63;1014073;73884;1087957
31.12.2019;64;978010;69812;1047822
31.12.2019;65;956808;64238;1021046
31.12.2019;66;922439;58747;981186
31.12.2019;67;912346;60249;972595
31.12.2019;68;890499;55619;946118
31.12.2019;69;874770;63317;938087
31.12.2019;70;838077;60023;898100
31.12.2019;71;753141;58321;811462
31.12.2019;72;698443;56064;754507
31.12.2019;73;598254;49935;648189
31.12.2019;74;518426;43411;561837
31.12.2019;75;700524;40004;740528
31.12.2019;76;704292;36083;740375
31.12.2019;77;669492;34793;704285
31.12.2019;78;805422;30981;836403
31.12.2019;79;823219;31610;854829
31.12.2019;80;787351;26995;814346
31.12.2019;81;702087;23924;726011
31.12.2019;82;623554;20154;643708
31.12.2019;83;568626;16711;585337
31.12.2019;84;511364;13515;524879
31.12.2019;85;2327645;59209;2386854
31.12.2019;Insgesamt;72768689;10398022;83166711
__________
"Bis 1989: Früheres Bundesgebiet

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2020
Stand: 02.04.2021 / 08:50:26

GENESIS-Tabelle: 12411-0006
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;
Nationalität/Geschlecht/Familienstand;;;;
Fortschreibung des Bevölkerungsstandes;;;;
