Altersgruppe;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11
Gesamt;40.89;43.39;32.700000000000003;20.88;14.88;8.9499999999999993;7.5;5.72;4.3499999999999996;3.86;2.83;2.82;4.96;3.87;3.24;2.92;3.63;4.7300000000000004;5.8;7.28;9.56;11.53;10.61;10.36;11.75;14.78;15.71;19.16;31.42;50.6;89.99;133.6;151.28;153.77000000000001;154.51;148.25;154.51;188.24;210.35;167.44;148.13999999999999;174.95;143.07;114.94;94.11;77.75;61.17;63.12;67.92;70.33;85.73;110.05
90+;51.52;142.28;151.02000000000001;103.03;70.59;34.630000000000003;25.27;17.37;12.51;8.75;5.0999999999999996;5.59;4.5;3.4;2.92;1.82;3.28;2.0699999999999998;4.74;3.4;3.04;2.19;3.52;2.92;5.47;8.99;11.42;14.34;22.36;53.22;107.77;178.12;209.47;281.51;373.25;427.07;508.6;657.8;726.69;639.21;604.46;658.16;612.24;479.19;350.53;235.47;158.80000000000001;131.1;101.21;74.84;74.84;78.25
85 - 89;47.13;92.53;91.06;59.21;43.55;20.91;16.82;11.45;8.1199999999999992;5.44;3.26;3.26;3.01;2.17;1.79;1.28;1.53;2.17;2.62;2.56;3.58;1.47;2.11;1.6;5.44;6.59;7.74;10.55;19.57;36.770000000000003;73.28;114.14;146.5;180.97;215.63;261.92;294.08999999999997;379.07;444.36;375.24;357.72;388.86;354.9;284.75;212.56;164.79;105.77;93.62;77.06;61.26;59.79;70.02
80 - 84;38.92;59.68;52.09;35.85;24.95;13.72;9.11;7.47;4.6399999999999997;3.4;2.31;1.88;1.88;1.55;1.49;1.0900000000000001;1.1499999999999999;1.55;2.73;2.09;2.46;1.94;1.52;1.82;4.04;5.92;6.44;9.59;14.27;26.01;55.76;86.18;104.27;115.56;132.38;145.19;165.44;215.28;251.31;225.75;208.57;232.77;203.08;161.69999999999999;127.16;95.59;69.790000000000006;60.71;54.06;47.02;49.72;54.28
75 - 79;36.299999999999997;46.13;33.950000000000003;22;15.14;9.0500000000000007;7.09;4.54;2.71;2.12;1.5;1.19;1.68;1.47;1.03;1.03;1.1399999999999999;1.47;1.83;1.42;1.83;1.73;1.78;1.93;3.79;4.67;5.98;8;13;23.29;41.92;68.39;78.78;84.92;87.37;90.16;102.57;128.83000000000001;153.47;132.05000000000001;119.83;134.82;111.37;88.05;72.849999999999994;57.04;43.8;44.19;40.81;35.19;37.1;48.14
70 - 74;36.119999999999997;38.57;28.58;17.170000000000002;11.54;7.48;5.63;3.51;2.5299999999999998;2.1800000000000002;1.28;1.0900000000000001;1.58;1.0900000000000001;1.01;1.52;1.69;1.71;2.42;2.48;2.15;2.61;2.5;2.89;4.08;7.05;7.24;9.5;15.98;25.39;48.99;78.41;86.58;89.71;91.42;87.07;94.83;119.54;140.74;121.23;112.63;131.30000000000001;99.64;83.42;67.55;56.23;42.95;43.41;44.83;42.51;49.02;63.8
65 - 69;33.9;34.82;22.99;13.62;10.37;5.47;4.28;3;2.5299999999999998;2.1800000000000002;1.23;1.05;1.42;1.36;1.28;1.28;1.46;1.75;1.77;2.4900000000000002;2.2599999999999998;2.4900000000000002;2.7;2.61;4.63;5.97;6.28;9.2799999999999994;14.08;26.43;46.63;73.099999999999994;87.63;82.63;85.51;85.22;84.89;106.54;130.72999999999999;115.02;102.53;117.62;90.8;74.62;64.33;52.15;39.56;42.09;43.86;41.12;47.07;64.540000000000006
60 - 64;44.71;49.24;31.78;19.25;11.93;7.17;5.88;4.25;3.1;2.96;1.89;1.61;2.16;1.91;1.97;1.65;1.95;2.69;2.69;3.61;3.4;4.2;4.32;4.3899999999999997;5.98;8.73;9.6;12.06;22.49;37.5;70.08;106.18;121.55;122.42;129.47;123.98;135.52000000000001;167.04;195.25;162.65;146.54;164.1;133.66;110.42;90.8;74.739999999999995;56.52;57.63;62.33;60.71;72.790000000000006;92.74
55 - 59;53.33;54.46;38.72;23.24;15.73;8.89;7.57;5.34;3.95;3.52;2.11;1.99;2.76;3.01;2.3199999999999998;1.72;2.63;3.58;4.2300000000000004;4.57;4.84;6.38;5.27;5.83;8.25;11.31;12.84;16.46;27.77;44.53;85.46;133.12;150.91999999999999;152.88999999999999;152.09;146.65;153.87;193.88;222.88;183.72;164.53;183.03;148.96;123.89;104.31;86.3;66.88;68.319999999999993;72;68.900000000000006;84.62;106.21
50 - 54;59.61;55.09;38.93;23.26;14.78;9.02;7.75;5.59;3.76;3.59;2.2400000000000002;2.1800000000000002;4.74;3.99;2.77;2.58;3.1;4.38;5.22;6.23;7.05;8.35;8.02;8.23;9.98;13.37;14.83;17.989999999999998;33.81;53.31;95.69;145.66999999999999;163.38999999999999;164.08;161.51;154.16999999999999;157.36000000000001;197.65;222.41;178.8;156.86000000000001;180.13;145.97;121.99;99.64;79.040000000000006;64.22;67.290000000000006;70.7;73.75;87.96;111.1
45 - 49;55.43;51.54;36.43;22.26;14.96;8.89;8.5;6.24;4.8;4.0599999999999996;3.05;2.75;7.11;5.27;4.1900000000000004;3.45;4.4000000000000004;6.33;7.3;8.65;10.9;13.18;11.42;11.64;13.14;16.59;17.010000000000002;22.74;38.630000000000003;59.32;110.21;159.06;179.64;176.34;183.58;171.83;175.2;210.59;235.9;184.59;162.36000000000001;185.65;151.12;122.71;100.73;85.22;67.47;71.55;76.91;81.45;98.31;121.76
40 - 44;47.42;47;34.159999999999997;20.9;14.22;9.2899999999999991;8.23;7.25;4.97;4.32;3.59;3.22;9.25;5.58;4.38;3.87;5.13;6.54;8.74;9.9600000000000009;13.02;14.57;13.44;13.18;13.99;17.190000000000001;17.54;21.41;38.049999999999997;59.18;108.01;160.44;180.91;183.13;188.16;179.4;179.83;222.1;244.47;194.01;163.6;194.11;154.04;126.89;104.4;87.35;70.75;73.13;84.48;87.21;108.72;140.54
35 - 39;45.07;41.69;31.23;18.57;14.44;8.77;7.96;6.67;5.2;4.54;2.97;3.69;7.24;5.63;4.2699999999999996;3.89;4.75;6.81;7.24;9.7200000000000006;12.18;14.37;13.56;12.27;13.25;17.05;19.059999999999999;21.8;34.520000000000003;58.74;101.98;152.88;169.38;173.79;174.07;164.71;172.75;207.99;231.26;180.1;153.03;191.62;151.55000000000001;119.85;98.48;84.51;68.16;70.52;79.14;86.72;108.73;141.76
30 - 34;48;44.02;31.88;21.89;16.54;10.23;8.8800000000000008;7.11;5.84;4.91;3.75;4.08;7.53;6.08;4.7300000000000004;4.71;5.4;6.99;7.7;9.33;12.74;17.2;15.59;17.100000000000001;17.100000000000001;21.96;23.67;27.73;42.96;70.22;122.19;174.26;190.78;190.84;183.6;170.7;172.53;209.84;236.89;182.8;167.37;211.07;164.73;127.92;105.23;89.49;71.02;74.84;82.72;89.25;109.7;142.07
25 - 29;53.07;49.03;38.090000000000003;25.56;19.63;13.42;10.27;7.67;6.88;6.23;4.3899999999999997;4.79;7.76;6.4;6.23;4.47;6.07;8.08;10.050000000000001;11.96;16.510000000000002;23.55;24.06;22.82;24.24;29.22;28.36;34.39;53.01;88.27;144.16999999999999;203.71;219.81;210.9;195.86;177.48;180.2;212.97;238.74;185.97;165.95;212.83;168.21;126.06;105.43;88.42;72.11;76.78;81.96;84.28;107.64;136.96
20 - 24;49.26;48.69;37.67;26.78;20.87;12.91;11;9.0299999999999994;6.86;6.27;4.99;5.4;8.16;5.64;5.6;5.14;6.51;8.2200000000000006;11.31;16.170000000000002;25.3;33.5;28.82;27.12;27.91;32.92;34.369999999999997;37.82;60.5;95.13;163.9;226.26;254.79;239.52;221.83;194.1;199.5;234.24;262.69;196.99;186.77;236.24;184.79;139.77000000000001;113.75;95.15;79.38;85.99;91.14;95.54;118.24;147.79
15 - 19;23.84;27.34;21.73;14.5;10.18;6.73;6.6;4.59;3.88;4.1100000000000003;4.09;2.82;6.09;4.29;3.5;3.78;4.8499999999999996;6.27;9.24;13.76;18.84;22.34;21.15;19.55;21.1;26.4;26.53;33.74;52.47;75.19;123.3;182.62;213.49;221.11;208.29;189.3;196.21;224.31;215.04;149.11000000000001;125.76;162.01;137.31;106.77;88.21;74.180000000000007;60.42;66.64;78.11;81.790000000000006;103.83;138.88
10-14;10.24;11.61;8.26;6.37;5.08;3.67;3.38;3.16;2.92;3.21;2.78;3.21;5.19;3.94;2.84;2.75;4;5.16;6.78;9.83;14.69;15.58;13.04;11.61;13.45;13.99;15.8;19.12;30.84;44.64;74.05;110.29;128.84;144.24;143.18;140.16;139.32;153.74;142.81;91.17;71.459999999999994;89.74;73.59;60.06;50.77;46.69;38.130000000000003;42.56;50.91;62.38;77.16;110.7
5-9;6.68;7.86;6.36;4.37;4.1100000000000003;3.22;2.82;2.95;2.15;3.03;2.66;3.3;4.72;3.73;3.33;3.09;3.65;4.05;5.31;7.65;10.95;10.199999999999999;9.4700000000000006;8.5299999999999994;8.7200000000000006;9.5299999999999994;10.41;11.59;16.77;26.03;49.16;74.91;90.21;97;105.13;102.42;98.77;114.54;115.67;81.25;52.03;64.209999999999994;59.14;51.03;44.11;42.98;37.32;41.64;53.88;73.3;98.39;126.05
0 - 4;6.41;6.87;5.98;4.0599999999999996;4.67;3.33;3.48;2.93;3.1;2.2200000000000002;2.73;2.78;4.04;3.43;3.56;3.71;3.53;4.0599999999999996;3.79;4.7699999999999996;6.97;7.14;5.63;5.73;5.71;7.35;7.6;8.1999999999999993;13.23;22.37;36.83;56.47;61.01;61.12;60.08;58.74;58.24;67.48;78.61;53.47;38.700000000000003;48.29;47;42.96;38.770000000000003;38.17;34;34.71;47.74;60.23;75.430000000000007;101.15
