Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1
Gesamt;1.08;7.74;26.97;40.92;43.4;32.69;20.88;14.89;8.9499999999999993;7.49;5.69;4.3499999999999996;3.86;2.84;2.82;4.9800000000000004;3.87;3.24;2.92;3.64;4.74;5.8;7.29;9.57;11.55;10.61;10.37;11.75;14.76;15.72;19.14;31.47;50.59;89.96;133.63999999999999;151.28;153.78;154.54;148.33000000000001;154.30000000000001;187.77;209.6;166.58;147.33000000000001;172.18
90+;0.12;1.46;12.03;51.39;142.4;151.27000000000001;103.03;70.709999999999994;34.51;25.27;17.13;12.51;8.75;5.0999999999999996;5.83;4.5;3.16;2.92;1.82;3.28;2.19;4.74;3.4;3.04;2.19;3.64;2.92;5.35;8.99;11.42;14.46;22.72;52.24;107.65;178;208.98;281.14999999999998;372.4;427.31;502.77;656.95;722.19;635.69000000000005;600.09;641.28
85 - 89;0.38;2.4300000000000002;13.94;47.19;92.53;90.87;59.21;43.74;21.04;16.82;11.51;8.1199999999999992;5.5;3.26;3.26;2.88;2.17;1.79;1.28;1.53;2.2999999999999998;2.62;2.56;3.58;1.47;2.11;1.6;5.37;6.59;7.74;10.42;19.5;36.450000000000003;72.709999999999994;113.82;146.5;180.78;215.24;261.99;292.68;376.9;441.49;372.55;355.8;380.48
80 - 84;0.36;2.52;14.21;39.01;59.59;52.18;35.880000000000003;24.98;13.69;9.08;7.47;4.6100000000000003;3.43;2.31;1.91;1.88;1.55;1.46;1.0900000000000001;1.18;1.55;2.7;2.09;2.46;1.94;1.52;1.85;4.01;5.92;6.44;9.59;14.36;25.98;55.64;86.27;104.18;115.32;132.35;145.13;164.68;213.86;249.77;224.72;207.09;229.19
75 - 79;0.62;2.89;14.73;36.299999999999997;46.07;33.85;22;15.14;9.08;7.07;4.46;2.71;2.12;1.5;1.1399999999999999;1.68;1.47;1.03;1.03;1.1399999999999999;1.47;1.83;1.44;1.83;1.73;1.78;1.93;3.74;4.6399999999999997;5.96;7.89;13.08;23.35;41.97;68.23;78.55;84.85;87.37;90.08;102.05;128.31;153.22999999999999;130.74;118.74;132.72999999999999
70 - 74;0.3;3.92;16.93;36.090000000000003;38.54;28.61;17.2;11.54;7.51;5.63;3.48;2.5;2.1800000000000002;1.28;1.0900000000000001;1.58;1.0900000000000001;1.03;1.52;1.63;1.69;2.4500000000000002;2.48;2.15;2.61;2.5299999999999998;2.91;4.1399999999999997;7.05;7.21;9.5299999999999994;16.11;25.37;48.75;78.39;86.33;89.57;91.34;86.99;94.45;119.05;140.28;120.36;112.11;129.47
65 - 69;0.51;4.88;18.32;33.96;34.82;22.97;13.62;10.41;5.47;4.28;2.96;2.5499999999999998;2.2200000000000002;1.23;1.05;1.44;1.34;1.28;1.28;1.46;1.75;1.75;2.4900000000000002;2.2599999999999998;2.4700000000000002;2.7;2.61;4.6100000000000003;5.95;6.28;9.32;14.1;26.45;46.66;73.08;87.22;82.69;85.37;85.02;84.93;105.91;129.68;114.32;101.71;115.66
60 - 64;1.1000000000000001;7.63;28.29;44.73;49.29;31.85;19.23;11.93;7.19;5.84;4.25;3.08;2.99;1.91;1.61;2.16;1.91;1.95;1.65;1.95;2.71;2.71;3.61;3.42;4.2;4.3;4.37;5.98;8.73;9.58;12.04;22.47;37.520000000000003;69.97;106.01;121.2;122.14;129.33000000000001;123.69;135.47;166.38;194.02;161.21;145.33000000000001;160.97
55 - 59;1.1100000000000001;11.16;38.58;53.37;54.43;38.74;23.26;15.73;8.91;7.55;5.28;3.96;3.52;2.11;2;2.75;3.01;2.3199999999999998;1.72;2.63;3.59;4.2300000000000004;4.57;4.84;6.4;5.24;5.82;8.2100000000000009;11.28;12.82;16.420000000000002;27.71;44.51;85.43;132.94999999999999;150.71;152.91;151.84;146.13999999999999;153.36000000000001;193.06;221.54;182.11;162.91;178.97
50 - 54;1.98;14.6;46.12;59.63;55.17;38.97;23.23;14.77;8.99;7.75;5.53;3.74;3.56;2.2400000000000002;2.19;4.75;3.99;2.77;2.56;3.11;4.38;5.25;6.21;7.06;8.35;8.0500000000000007;8.27;9.9499999999999993;13.35;14.84;17.940000000000001;33.799999999999997;53.22;95.51;145.51;163.09;163.81;161.26;153.75;156.97999999999999;196.89;221.39;177.56;155.27000000000001;177
45 - 49;1.9;14.13;39.770000000000003;55.45;51.58;36.39;22.26;14.94;8.8699999999999992;8.48;6.26;4.82;4.04;3.09;2.73;7.17;5.25;4.1900000000000004;3.43;4.4000000000000004;6.35;7.32;8.65;10.88;13.12;11.47;11.62;13.18;16.59;17.03;22.72;38.590000000000003;59.26;110.06;158.87;179.58;175.98;183.26;171.41;174.99;209.83;234.8;183.18;161.30000000000001;182.05
40 - 44;1.75;11.63;36.729999999999997;47.46;47.06;34.119999999999997;20.86;14.24;9.27;8.25;7.21;4.91;4.34;3.54;3.22;9.2899999999999991;5.54;4.3600000000000003;3.89;5.15;6.56;8.7200000000000006;9.94;13.06;14.59;13.44;13.2;13.99;17.13;17.54;21.31;38.07;59.24;107.94;160.03;180.46;182.85;188;178.79;179.34;221.31;243.04;192.71;162.54;190.93
35 - 39;1.25;10.34;33.159999999999997;45.13;41.69;31.25;18.600000000000001;14.41;8.77;7.96;6.62;5.2;4.5599999999999996;2.95;3.69;7.28;5.69;4.2699999999999996;3.89;4.75;6.84;7.24;9.7200000000000006;12.19;14.39;13.52;12.25;13.18;17.03;19.02;21.76;34.520000000000003;58.7;101.85;152.74;169.25;173.58;173.75;164.62;172.56;207.18;230;178.8;152.19999999999999;188.29
30 - 34;1.26;9.7200000000000006;37.299999999999997;48.04;44.02;31.82;21.89;16.54;10.24;8.8800000000000008;7.17;5.88;4.8899999999999997;3.77;4.0599999999999996;7.53;6.08;4.7300000000000004;4.7300000000000004;5.4;6.99;7.72;9.3699999999999992;12.74;17.21;15.56;17.07;17.09;21.93;23.71;27.71;43.05;70.290000000000006;122.11;174.12;190.51;190.62;183.78;170.13;171.92;209.16;235.77;182.12;166.29;207.73
25 - 29;1.5;10.78;39.49;53.07;49.05;38.130000000000003;25.56;19.63;13.4;10.210000000000001;7.65;6.9;6.25;4.3899999999999997;4.79;7.78;6.4;6.23;4.47;6.09;8.1;10.029999999999999;11.98;16.510000000000002;23.57;24.06;22.84;24.3;29.19;28.32;34.39;53.01;88.25;143.97999999999999;203.37;219.69;210.6;195.86;177;179.6;212.24;237.96;185.18;165.51;209.64
20 - 24;1.52;7.01;31.4;49.32;48.67;37.58;26.76;20.9;12.91;11.02;8.98;6.81;6.27;4.97;5.38;8.18;5.66;5.6;5.14;6.55;8.18;11.31;16.190000000000001;25.3;33.61;28.77;27.08;28.01;32.9;34.35;37.65;60.58;94.93;163.69999999999999;226.28;254.73;239.39;221.81;193.84;199.31;233.53;262.17;196.05;186.03;233.55
15 - 19;1.07;4.62;13.73;23.86;27.42;21.78;14.52;10.23;6.7;6.55;4.59;3.91;4.1100000000000003;4.1100000000000003;2.82;6.17;4.29;3.53;3.78;4.8499999999999996;6.3;9.24;13.78;18.84;22.36;21.1;19.5;21.12;26.25;26.55;33.74;52.65;75.27;123.07;182.45;213.39;220.63;208.06;189.15;195.8;223.75;214.28;148.02000000000001;125.25;158.84
10-14;0.54;2.78;6.83;10.24;11.59;8.16;6.37;5.08;3.67;3.38;3.16;2.92;3.21;2.78;3.21;5.19;3.94;2.84;2.78;4.05;5.16;6.78;9.83;14.72;15.53;13.07;11.61;13.45;13.96;15.85;19.170000000000002;30.79;44.64;74.099999999999994;110.18;128.87;144.18;143.05000000000001;139.72999999999999;139.16;152.93;141.62;90.71;71.03;87.55
5-9;0.24;1.5;4.53;6.68;7.83;6.33;4.37;4.1100000000000003;3.19;2.82;2.98;2.17;3.03;2.68;3.3;4.72;3.76;3.33;3.09;3.7;4.05;5.31;7.65;10.92;10.199999999999999;9.4700000000000006;8.5299999999999994;8.69;9.5;10.41;11.54;16.8;26.05;49.21;74.86;90.18;97.13;104.96;102.12;98.44;113.82;115;80.28;51.65;63.19
0 - 4;0.2;0.91;3.61;6.46;6.89;5.93;4.0599999999999996;4.6399999999999997;3.33;3.46;2.9;3.08;2.2200000000000002;2.73;2.8;4.04;3.43;3.56;3.69;3.53;4.0599999999999996;3.81;4.8;6.97;7.19;5.63;5.78;5.78;7.32;7.65;8.18;13.25;22.37;37.01;56.75;61.14;61.24;60.16;58.97;58.44;68.03;78.63;53.47;38.700000000000003;47.91
